X,Y,OBJECTID,Plant_Code,Plant_Name,Utility_ID,Utility_Name,sector_name,Street_Address,City,County,State,Zip,PrimSource,source_desc,tech_desc,Install_MW,Total_MW,Bat_MW,Bio_MW,Coal_MW,Geo_MW,Hydro_MW,HydroPS_MW,NG_MW,Nuclear_MW,Crude_MW,Solar_MW,Wind_MW,Other_MW,Source,Period,Longitude,Latitude
-13165266.3704,3998040.647,36075,399,Harbor,11208,Los Angeles Department of Water & Power,Electric Utility,161 N. Island Ave.,Wilmington,Los Angeles,California,90744,natural gas,Natural Gas = 422 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine;,548.1,422,,,,,,,422,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-118.2656,33.7706
-13146735.0147,3997256.0659,36076,400,Haynes,11208,Los Angeles Department of Water & Power,Electric Utility,6801 E. 2nd St.,Long Beach,Los Angeles,California,90803,natural gas,Natural Gas = 1599.2 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine,1739.1,1599.2,,,,,,,1599.2,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-118.09913,33.764741
-13183305.4712,4017816.993,36080,404,Scattergood,11208,Los Angeles Department of Water & Power,Electric Utility,12700 Vista Del Mar,Playa del Rey,Los Angeles,California,90293,natural gas,Natural Gas = 778.3 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine,876,778.3,,,,,,,778.3,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-118.427648,33.918151
-15918683.8439,9182998.0581,36081,406,Tok,219,Alaska Power and Telephone Co,Electric Utility,Milepost 1314 AK Hwy,Tok,Southeast Fairbanks,Alaska,99780,petroleum,Petroleum = 7.9 MW,Petroleum Liquids,7.8,7.9,,,,,,,,,7.9,,,,"EIA-860, EIA-860M and EIA-923",202406,-142.99997,63.33552
-13179262.236,4061745.9624,36083,408,Valley (CA),11208,Los Angeles Department of Water & Power,Electric Utility,11801 Sheldon St.,Sun Valley,Los Angeles,California,91352,natural gas,Natural Gas = 563 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine;,690.5,563,,,,,,,563,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-118.391327,34.244991
-14822044.3706,7454980.2438,36094,421,Craig (AK),219,Alaska Power and Telephone Co,Electric Utility,401 7th Street,Craig,Prince of Wales Ketchikan,Alaska,99921,petroleum,Petroleum = 4.6 MW,Petroleum Liquids,4.6,4.6,,,,,,,,,4.6,,,,"EIA-860, EIA-860M and EIA-923",202406,-133.14869,55.47691
-13152331.0455,4045733.3217,36095,422,Glenarm,14534,City of Pasadena - (CA),Electric Utility,43 East State Street,Pasadena,Los Angeles,California,91105,natural gas,Natural Gas = 222.4 MW,Natural Gas Fired Combined Cycle; Natural Gas Fired Combustion Turbine;,265.6,222.4,,,,,,,222.4,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-118.1494,34.126
-14785614.5106,7401742.2264,36096,423,Hydaburg,219,Alaska Power and Telephone Co,Electric Utility,105 Hyda Street,Prince of Wales,Prince of Wales Ketchikan,Alaska,99922,petroleum,Petroleum = 1 MW,Petroleum Liquids,1,1,,,,,,,,,1,,,,"EIA-860, EIA-860M and EIA-923",202406,-132.821435,55.204937
-11645621.7376,4617170.3895,36125,460,Pueblo,56146,"Black Hills Colorado Electric, LLC",Electric Utility,105 S. Victoria,Pueblo,Pueblo,Colorado,81003,petroleum,Petroleum = 8 MW,Petroleum Liquids,8,8,,,,,,,,,8,,,,"EIA-860, EIA-860M and EIA-923",202406,-104.6144,38.2667
-11788144.0817,4503336.1458,36126,464,Alamosa,15466,Public Service Co of Colorado,Electric Utility,8073 County Road 8,Alamosa,Alamosa,Colorado,81101,natural gas,Natural Gas = 27 MW,Natural Gas Fired Combustion Turbine,53.2,27,,,,,,,27,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-105.8947,37.4594
-11684600.0347,4837975.4043,36129,469,Cherokee,15466,Public Service Co of Colorado,Electric Utility,6198 Franklin St,Denver,Adams,Colorado,80216,natural gas,Natural Gas = 886 MW,Natural Gas Fired Combined Cycle; Natural Gas Steam Turbine;,1006.4,886,,,,,,,886,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-104.964548,39.807275
-11641202.3539,4608865.2175,36130,470,Comanche (CO),15466,Public Service Co of Colorado,Electric Utility,2005 Lime Rd.,Pueblo,Pueblo,Colorado,81006,coal,Coal = 1085 MW,Conventional Steam Coal,1252.8,1085,,,1085,,,,,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-104.5747,38.2081
-12104291.4356,4741228.5777,36131,471,Fruita,15466,Public Service Co of Colorado,Electric Utility,917 Colorado State Highway 340,Grand Junction,Mesa,Colorado,81521,natural gas,Natural Gas = 14 MW,Natural Gas Fired Combustion Turbine,26.6,14,,,,,,,14,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-108.7347,39.1364
-11711033.0704,4868776.3711,36135,477,Valmont,15466,Public Service Co of Colorado,Electric Utility,1800 N. 63rd St.,Boulder,Boulder,Colorado,80302,natural gas,Natural Gas = 43 MW,Natural Gas Fired Combustion Turbine,59.3,43,,,,,,,43,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-105.202,40.0195
-11669993.2477,4696555.7884,36144,492,South Plant,3989,City of Colorado Springs - (CO),Electric Utility,700 S Conejos St,Colorado Springs,El Paso,Colorado,80903,natural gas,Natural Gas = 150 MW,Natural Gas Fired Combustion Turbine,245.1,150,,,,,,,150,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-104.833333,38.824444
-11668168.8326,4704695.7774,36145,493,George Birdsall,3989,City of Colorado Springs - (CO),Electric Utility,213 Nichols Blvd.,Colorado Springs,El Paso,Colorado,80907,natural gas,Natural Gas = 55 MW,Natural Gas Steam Turbine,61.1,55,,,,,,,55,,,,,,"EIA-860, EIA-860M and EIA-923",202406,-104.816944,38.881389
-11362787.7433,4584048.6592,36148,502,Holly,8751,Town of Holly - (CO),Electric Utility,Tony Garcia Drive PO Box 458,Holly,Prowers,Colorado,81047,petroleum,Petroleum = 2.7 MW,Petroleum Liquids,2.9,2.7,,,,,,,,,2.7,,,,"EIA-860, EIA-860M and EIA-923",202406,-102.073659,38.032717
